Current (Our) Label,NCBI Taxdump closest fuzzy-match label,Edit distance,NCBI Taxonomy number,Manual checking,Current accepted name,
Rhodococcus copnophilus,Rhodococcus coprophilus,1,38310,,,
Rhodococcus marinonanscens,Rhodococcus marinonascens,1,38311,,,
Rhodococcus zopm,Rhodococcus zopfii,1,43772,,,
Rhodospilillum photometricum,Rhodospirillum photometricum DSM 122,1,1150469,,,
Rhodosplrillum centenum,Rhodospirillum centenum,1,34018,,,
Rhodotheimus marinus,Rhodothermus marinus,1,29549,,,
Rhodotorula lignophfla,Rhodotorula lignophila,1,106012,,,
Rhodovulum fodosum,Rhodovulum iodosum,1,68291,,,
Rhoducoccus globerulus,Rhodococcus globerulus,1,33008,,,
Roseobacter denitriffcans,Roseobacter denitrificans,1,2434,,,
Roseobacter denitriricans,Roseobacter denitrificans,1,2434,,,
Roseovarius crassostreae,Aliiroseovarius crassostreae,1,154981,,,
Ruegeria atlaniica,Ruegeria atlantica,1,81569,,,
Rumfnococcus gnavus,Ruminococcus gnavus ATCC 29149,1,411470,,,
Saccharupolyspora cebuensis,Saccharopolyspora cebuensis,1,418759,,,
Salegentfbacter salegens,Salegentibacter salegens,1,143223,,,
Salegentibacter salegenx,Salegentibacter salegens,1,143223,,,
Saligentibacter agarivorans,Salegentibacter agarivorans,1,345907,,,
Saligentibacter flavus,Salegentibacter flavus,1,287099,,,
Saligentibacter holothuriorum,Salegentibacter holothuriorum,1,241145,,,
Saligentibacter mishustinae,Salegentibacter mishustinae,1,270918,,,
Saligentibacter salegens,Salegentibacter salegens,1,143223,,,
Salinicocous hispanicus,Salinicoccus hispanicus,1,157225,,,
Saliniooccus alkaliphilus,Salinicoccus alkaliphilus,1,148453,,,
Saliniooccus luteus,Salinicoccus luteus,1,367840,,,
Salinospora arenicola,Salinispora arenicola,1,168697,,,
Salirhabdus euzebyl,Salirhabdus euzebyi,1,394506,,,
Sallnibacillus aidingensis,Salinibacillus aidingensis,1,237684,,,
Acfinaplanes palleronii,Actinoplanes palleronii,2,113570,,,
Acrinomycss bowdenii,Actinomyces bowdenii,2,131109,,,
Actinamycetaspora chiangmaiensis,Actinomycetospora chiangmaiensis,2,402650,,,
Actinaphytacola timorensis,Actinophytocola timorensis,2,657017,,,
Actinoplanes tacvensis,Actinoplanes toevensis,2,571911,,,
Actinoplunes utahenxis,Actinoplanes utahensis,2,1869,,,
Actinopowmorpha rutila,Actinopolymorpha rutila,2,446787,,,
Actinornyces turicensis,Actinomyces turicensis,2,131111,,,
Actirroplanes derwentensis,Actinoplanes derwentensis,2,113562,,,
Adhrobacter roseus,Arthrobacter roseus,2,136274,,,
Aequorfvlta antarctica,Aequorivita antarctica,2,153266,,,
Aeromicmbium fastidiosum,Aeromicrobium fastidiosum,2,52699,,,
Aeromicrobfum fasridiosum,Aeromicrobium fastidiosum,2,52699,,,
Aggregatlbacler actinomycetemcomitans,Aggregatibacter actinomycetemcomitans,2,714,,,
Agrobactenum tumefaciens,Agrobacterium tumefaciens,2,358,,,
Agromyces rarnosus,Agromyces ramosus,2,33879,,,
Alenibacter tloitsensis,Arenibacter troitsensis,2,188872,,,
Alfhrobacter rhombi,Arthrobacter rhombi,2,71253,,,
Algfcola bacterfolytica,Algicola bacteriolytica,2,71383,,,
Algorfphagus antarctfcus,Algoriphagus antarcticus,2,238540,,,
Algoriphagus borftolelans,Algoriphagus boritolerans,2,308111,,,
Algoriphagus mannitohvorans,Algoriphagus mannitolivorans,2,226504,,,
Alicyclfphilus denitrfficans,Alicycliphilus denitrificans,2,179636,,,
Alihrobacter histidinolovorans,Arthrobacter histidinolovorans,2,43664,,,
Alkahmonas collagenimarina,Alkalimonas collagenimarina,2,400390,,,
Amia felis,Afipia felis,2,1035,,,
Amycolatopsis taivvanensis,Amycolatopsis taiwanensis,2,342230,,,
Anaerobic digesier,anaerobic digester metagenome,2,1263854,,,
Ancylobacter auqaticus,Ancylobacter aquaticus,2,100,,,
Aneromonas marina,Alteromonas marina,2,203795,,,
Anhrobacter bergerei,Arthrobacter bergerei,2,256702,,,
Anhrobacter globiformis,Arthrobacter globiformis,2,1665,,,
Anhrobacter methylotrophus,Arthrobacter methylotrophus,2,121291,,,
Anhrobacter monumenti,Arthrobacter monumenti,2,163875,,,
Anhrobacter nicotianae,Arthrobacter nicotianae,2,37929,,,
Anhrobacter polychromogenes,Arthrobacter polychromogenes,2,1676,,,
Anhrobacter woluwensis,Arthrobacter woluwensis,2,156980,,,
Aquisallmonas aslatica,Aquisalimonas asiatica,2,406100,,,
Arrhrobacter pnotophormiae,Arthrobacter protophormiae,2,37930,,,
Arthmbacter crystallopoietes,Arthrobacter crystallopoietes,2,37928,,,
Arthmbacter ramosus,Arthrobacter ramosus,2,1672,,,
Azospirillum amazonense,Nitrospirillum amazonense,2,28077,,,
Bacillus halodurzms,Bacillus halodurans,2,86665,,,
Bacillus halophllus,Halobacillus halophilus,2,1570,,,
Bacillus infemus,Bacillus infernus,2,38072,,,
Bacillus insolilus,Psychrobacillus insolitus,2,1461,,,
Bacillus licheniforrnis,Bacillus licheniformis,2,1402,,,
Bacillus odysseyl,Lysinibacillus odysseyi,2,202611,,,
Bacillus selenitlreducens,[Bacillus] selenitireducens,2,85683,,,
Bacillus subtllls,Bacillus subtilis,2,1423,,,
Bacteraides vulgalus,Bacteroides vulgatus,2,821,,,
Bacteroidesl cellulosolvens,Pseudobacteroides cellulosolvens,2,35825,,,
Bacteroides zoogleqfarmans,Bacteroides zoogleoformans,2,28119,,,
Banfonella henselae,Bartonella henselae,2,38323,,,
Bergeyella zaahelcum,Bergeyella zoohelcum,2,1015,,,
Beutenbergia cavemae,Beutenbergia cavernae,2,84757,,,
Bifidobacterium lactis,Bifidobacterium actinocoloniiforme,2,638619,,,
Bmdobacterium indicum,Bifidobacterium indicum,2,1691,,,
Bosea thvboxidans,Bosea thiooxidans,2,53254,,,
Brevibaclilus reuszeri,Brevibacillus reuszeri,2,54915,,,
Bucternides massiliensis,Bacteroides massiliensis,2,204516,,,
Calwellia psychroerythraea,Colwellia psychrerythraea,2,28229,,,
Camobacterium alterfunditum,Carnobacterium alterfunditum,2,28230,,,
Camobacterium mobile,Carnobacterium mobile,2,2750,,,
Candida cerambycidamm,Candida cerambycidarum,2,271315,,,
Candida chrysomelidamm,Candida chrysomelidarum,2,271316,,,
Carnobacterium maltarornaticum,Carnobacterium maltaromaticum,2,2751,,,
Caulobacter fusiforrnis,Caulobacter fusiformis,2,69396,,,
Chftfnophaga pinensis,Chitinophaga pinensis,2,79329,,,
Chltlnophaga japonensis,Chitinophaga japonensis,2,104662,,,
Chlyseobacterium piscfum,Chryseobacterium piscium,2,333702,,,
Chromohaiobacter israeiensis,Chromohalobacter israelensis,2,141390,,,
Chrornobacterium violaceum,Chromobacterium violaceum,2,536,,,
Chryseobactenum balustinum,Chryseobacterium balustinum,2,246,,,
Chryseobactenum indologenes,Chryseobacterium indologenes,2,253,,,
Chryseobactenum ureilyticum,Chryseobacterium ureilyticum,2,373668,,,
Chryseobacterium vnistaatense,Chryseobacterium vrystaatense,2,307480,,,
Clastridium scindens,[Clostridium] scindens,2,29347,,,
Closlridium aldrichii,[Clostridium] aldrichii,2,29353,,,
Clostridfum lactatifermentans,[Clostridium] lactatifermentans,2,160404,,,
Clostridium aroticum,[Clostridium] oroticum,2,1544,,,
Clostridium orotioum,[Clostridium] oroticum,2,1544,,,
Clostridium palysaccharolyticum,[Clostridium] polysaccharolyticum,2,29364,,,
Clostridium phytofermenlans,Lachnoclostridium phytofermentans,2,66219,,,
Clostridium saccharolytfcum,[Clostridium] saccharolyticum,2,84030,,,
Colwellia homerae,Colwellia hornerae,2,89402,,,
Comamonas tenigena,Comamonas terrigena,2,32013,,,
Coriabacterium glamerans,Coriobacterium glomerans,2,33871,,,
Cronobacter turicensis,Cronobacter zurichensis,2,357233,,,
Cryptococcus cellumlyticus,Cryptococcus cellulolyticus,2,89918,,,
Cunobacterium citreum,Curtobacterium citreum,2,2036,,,
Cunobacterium flaccumfaciens,Curtobacterium flaccumfaciens,2,2035,,,
Cyclobaclerfum marinum,Cyclobacterium marinum,2,104,,,
Cytophaga hutchinsorrii,Cytophaga hutchinsonii,2,985,,,
Delftia aciclovorans,Delftia acidovorans,2,80866,,,
Demetria tenagena,Demetria terragena,2,63959,,,
Dennacoccus nishinomiyaensis,Dermacoccus nishinomiyaensis,2,1274,,,
Desulfomfcroblum escambiense,Desulfomicrobium escambiense,2,29503,,,
Doloslgranulum plgrum,Dolosigranulum pigrum,2,29394,,,
Donghicola ebumeus,Donghicola eburneus,2,393278,,,
Enacibaculum amylolytfcum,Tenacibaculum amylolyticum,2,104269,,,
Eubaclerium contortum,[Eubacterium] contortum,2,39482,,,
Filobacillus milensis,Filobacillus milosensis,2,94137,,,
Flammeovfrga kamogawensfs,Flammeovirga kamogawensis,2,373891,,,
Flammeovfrga yaeyamensls,Flammeovirga yaeyamensis,2,367791,,,
Flavisolfbacter ginsengfterrae,Flavisolibacter ginsengiterrae,2,398045,,,
Flavisolilzacter ginsengisoli,Flavisolibacter ginsengisoli,2,462367,,,
Flavobactenum aquatile,Flavobacterium aquatile,2,245,,,
Flavobactenum filum,Flavobacterium filum,2,370974,,,
Flavobacteriurn gillisiae,Flavobacterium gillisiae,2,150146,,,
Fulvirnonas soli,Fulvimonas soli,2,155197,,,
Gardenia amarae,Gordonia amarae,2,36821,,,
Gordonia amanze,Gordonia amarae,2,36821,,,
Gordonia bronchfalfs,Gordonia bronchialis,2,2054,,,
Gracibacillus dipsosauri,Gracilibacillus dipsosauri,2,178340,,,
Gracibacillus halotolerans,Gracilibacillus halotolerans,2,74386,,,
Haiorhodospira haiophila,Halorhodospira halophila,2,1053,,,
Haloarcula vallismonis,Haloarcula vallismortis,2,28442,,,
Halobacillus halophilzls,Halobacillus halophilus,2,1570,,,
Halobactenum noricense,Halobacterium noricense,2,223182,,,
Halobifonna haloterrestris,Halobiforma haloterrestris,2,148448,,,
Halochromatfum salexfgens,Halochromatium salexigens,2,49447,,,
Halorubrum saccharovomm,Halorubrum saccharovorum,2,2248,,,
Haloterrigena thennotolerans,Haloterrigena thermotolerans,2,121872,,,
Havabacterium tegetincola,Flavobacterium tegetincola,2,150172,,,
Helicolmcter pylori,Helicobacter pylori,2,210,,,
Herbaspirillum putei,Herbaspirillum huttiense subsp. huttiense,2,86172,,,
Herrmniimonas aquatilis,Herminiimonas aquatilis,2,345342,,,
Himicaris exocurata,Rimicaris exoculata ectosymbiont,2,41224,,,
Histophilus somnus,Histophilus somni,2,731,,,
Holtermannia corniforrnis,Holtermannia corniformis,2,71782,,,
Janthinobacteriurn agaricidamnosum,Janthinobacterium agaricidamnosum,2,55508,,,
Kaistella koreensis,Niastella koreensis,2,354356,,,
Ketogulonicigenium mbustum,Ketogulonicigenium robustum,2,92947,,,
Kibdelosporangium andum,Kibdelosporangium aridum,2,2030,,,
Kitasatospora tenestris,Kitasatospora terrestris,2,258051,,,
Kluyveromyces rnarxianus,Kluyveromyces marxianus,2,4911,,,
Kocuria camiphila,Kocuria carniphila,2,262208,,,
Kocurlh polaris,Kocuria polaris,2,136273,,,
Kondoa myxariophylla,Kondoa myxariophila,2,105985,,,
Kunhia gibsonii,Kurthia gibsonii,2,33946,,,
Kurihia zopiii,Kurthia zopfii,2,1650,,,
Labedella gwalqiensis,Labedella gwakjiensis,2,390269,,,
Lachancea ferrnentati,Lachancea fermentati,2,4955,,,
Lactobacillus catenaformis,Lactobacillus catenefornis,2,1122144,,,
Leifsoma aquatica,Leifsonia aquatica,2,144185,,,
Lemibacillus salicampi,Lentibacillus salicampi,2,175306,,,
Lemlnorella grimontli,Leminorella grimontii,2,82981,,,
Lentibacillus salsus,Lentibacillus salis,2,297171,,,
Manbacter aquivivus,Maribacter aquivivus,2,228958,,,
Manbacter forsetii,Maribacter forsetii,2,444515,,,
Manbacter ulvicola,Maribacter ulvicola,2,228959,,,
Marinasulfunomonas methylotropha,Marinosulfonomonas methylotropha,2,50058,,,
Marinirhermus hydrathermalis,Marinithermus hydrothermalis,2,186192,,,
Marlbacter orienialis,Maribacter orientalis,2,228957,,,
Marlnobacterium georgfense,Marinobacterium georgiense,2,48076,,,
Martelella rnediterranea,Martelella mediterranea,2,293089,,,
Mbromonospora chalcea,Micromonospora chalcea,2,1874,,,
Methanomicrobiurn mobile,Methanomicrobium mobile,2,2205,,,
Methanosarcina rnazei,Methanosarcina mazei,2,2209,,,
Methanosarclna thermophlla,Methanosarcina thermophila,2,2210,,,
Methylabacterium oryanophilum,Methylobacterium organophilum,2,410,,,
Methylobacteriurn rhodesianum,Methylobacterium rhodesianum,2,29427,,,
Methylobacteriurn thiocyanatum,Methylobacterium thiocyanatum,2,47958,,,
Methylocystis panxus,Methylocystis parvus,2,134,,,
Methylomicrobium buyratense,Methylomicrobium buryatense,2,95641,,,
Mghiohalocapsa marina,Thiohalocapsa marina,2,424902,,,
Microvirgula aerodenltriflcans,Microvirgula aerodenitrificans,2,57480,,,
Mucilanigibacter paludis,Mucilaginibacter paludis,2,423351,,,
Muricoccus roseus,Craurococcus roseus,2,77585,,,
Nacardioides alkalitalerans,Nocardioides alkalitolerans,2,281714,,,
Natrialba aegyptiaca,Natrialba aegyptia,2,129789,,,
Natrialba aegyptiaoa,Natrialba aegyptia,2,129789,,,
Natronolimnobius innermungolfcus,Natronolimnobius innermongolicus,2,253107,,,
Natronombrum bangense,Natronorubrum bangense,2,61858,,,
Nepturromonas naphthovorans,Neptunomonas naphthovorans,2,75688,,,
Ngoliphagus chordae,Algoriphagus chordae,2,237019,,,
Nocardfoides ganghwensfs,Nocardioides ganghwensis,2,252230,,,
Nocardfoides panacfhumi,Nocardioides panacihumi,2,400774,,,
Nocardfoides terrfgena,Nocardioides terrigena,2,424797,,,
Nocardimdes dubius,Nocardioides dubius,2,317019,,,
Nocardioides mkalitolerans,Nocardioides alkalitolerans,2,281714,,,
Novosphingobium subtenaneum,Novosphingobium subterraneum,2,48936,,,
Oceanihulbus indolzfex,Oceanibulbus indolifex,2,225422,,,
Oceanlbulbus indoliflex,Oceanibulbus indolifex,2,225422,,,
Oceanobacillus oncomynchi,Oceanobacillus oncorhynchi subsp. incaldanensis,2,272775,,,
Ocecmobacillus iheyensis,Oceanobacillus iheyensis,2,182710,,,
Ochrobaclrum inlermedium,Ochrobactrum intermedium,2,94625,,,
Ochrobactrum galllnffaecis,Ochrobactrum gallinifaecis,2,215590,,,
Ochrobactrum pseudmtermedium,Ochrobactrum pseudintermedium,2,370111,,,
Odorfbacler splanchnicus,Odoribacter splanchnicus,2,28118,,,
Ogataea faicamoraisii,Ogataea falcaomoraisii,2,281045,,,
Omithinicoccus hortensis,Ornithinicoccus hortensis,2,82346,,,
Omithinimicrobium humiphilum,Ornithinimicrobium humiphilum,2,125288,,,
Omithinimicrobium kibberense,Ornithinimicrobium kibberense,2,282060,,,
Optiutus terrae,Opitutus terrae,2,107709,,,
Ornithinicoccus honensis,Ornithinicoccus hortensis,2,82346,,,
Ornithinlbacillus bavariensls,Ornithinibacillus bavariensis,2,545502,,,
Oxalicibacteriurn flavum,Oxalicibacterium flavum,2,179467,,,
Paenibacillus konsidanse,Paenibacillus konsidensis,2,479474,,,
Paenibacillus polyrnyxa,Paenibacillus polymyxa,2,1406,,,
Paracoccus denftriffcans,Paracoccus denitrificans,2,266,,,
Pedrococcus claussenu,Pediococcus claussenii,2,187452,,,
Phyllobacterium myrsinaceamm,Phyllobacterium myrsinacearum,2,28101,,,
Phyllobacterium rnyrsinacearum,Phyllobacterium myrsinacearum,2,28101,,,
Planacaccus kocurii,Planococcus kocurii,2,1374,,,
Polanbacter filamentus,Polaribacter filamentus,2,53483,,,
Polaribacter franzmarmii,Polaribacter franzmannii,2,37453,,,
Polaribacter lrgensxi,Polaribacter irgensii,2,531,,,
Pontibaclllus chungwhensls,Pontibacillus chungwhensis,2,265426,,,
Propionibacterium rnicroaerophilum,Propionibacterium microaerophilum,2,118367,,,
Pseucloalteromonas prydzensis,Pseudoalteromonas prydzensis,2,182141,,,
Pseuclonocardia asaccharolytica,Pseudonocardia asaccharolytica,2,54010,,,
Pseuclorhodobacter ferrugineus,Pseudorhodobacter ferrugineus,2,77008,,,
Pseudoalterornonas tunicata,Pseudoalteromonas tunicata D2,2,87626,,,
Pseudonocardia satumea,Pseudonocardia saturnea,2,33909,,,
Pseudoxanthomonas broegbemensis,Pseudoxanthomonas broegbernensis,2,83619,,,
Psychmflexus gondwanensis,Psychroflexus gondwanensis,2,251,,,
Psychmflexus torquis,Psychroflexus torquis,2,57029,,,
Psychmserpens burtonensis,Psychroserpens burtonensis,2,49278,,,
Psychroflexus trapfcus,Psychroflexus tropicus,2,197345,,,
Psychromonas antarcticus,Psychromonas antarctica,2,67573,,,
Psychroserpens bunonensis,Psychroserpens burtonensis,2,49278,,,
Psychroserpens burtorzensis,Psychroserpens burtonensis,2,49278,,,
Rathayfbacter trftici,Rathayibacter tritici,2,33888,,,
Rhadaspirillum rubrum,Rhodospirillum rubrum,2,1085,,,
Rhadocaccus equi,Rhodococcus equi,2,43767,,,
Rhadococcus rhadnii,Rhodococcus rhodnii,2,38312,,,
Rhodabacter capsulafus,Rhodobacter capsulatus,2,1061,,,
Rhodobacrel veldkampii,Rhodobacter veldkampii,2,33049,,,
Rhodornicrobium vannielii,Rhodomicrobium vannielii,2,1069,,,
Rhodothermus marmus,Rhodothermus marinus,2,29549,,,
Rhodovulum sulfidophilurn,Rhodovulum sulfidophilum,2,35806,,,
Rhodovulum visakhapamamense,Rhodovulum visakhapatnamense,2,364297,,,
Rhoduspuridium sphaerocarpum,Rhodosporidium sphaerocarpum,2,86839,,,
Rohiginitalea bzformata,Robiginitalea biformata,2,252307,,,
Roselvirga sponglcola,Roseivirga spongicola,2,333140,,,
Roseobacler liloralis,Roseobacter litoralis,2,42443,,,
Roseomonas cenxicalis,Roseomonas cervicalis,2,204525,,,
Roseomonas cenzicalis,Roseomonas cervicalis,2,204525,,,
Roseospira navamensis,Roseospira navarrensis,2,140058,,,
Saccharomonospora gkzuca,Saccharomonospora glauca,2,40990,,,
Saccharomycopsis micmspora,Saccharomycopsis microspora,2,65477,,,
Salegentibacter holathuriarum,Salegentibacter holothuriorum,2,241145,,,
